,,Adaptive (3-Burst),,491,"5,348","6,673","6,903",,69,"366,925","24,462",30,479,488,815,,1.84,,15
,,Omolon Adaptive,,491,"5,020","6,355","6,599",,71,"356,452","20,968",27,473,485,777,,1.77,,17
,,Precision,,260,"4,742","6,193","6,756",,43,"205,794","17,150",12,146,"1,018","1,429",,1.96,,12
,,Lightweight,,360,"5,284","6,645","7,120",,28,"149,510","16,612",15,142,789,"1,107",,1.52,,9
,,Aggressive (2-Burst),,325,"5,331","6,193","6,423",,60,"320,151","32,015",28,290,814,"1,143",,1.89,,10
,,SUROS Rapid ,,450,"4,881","6,380","6,835",,29,"140,353","12,759",15,176,606,851,,1.37,,11
,,Devil's Ruin,,300,"4,683","6,125","6,563",,43,"202,125","18,375",15,172,873,"1,225",,2.06,,11
,Laser,Devil's Ruin,,471,"7,766","11,814","12,658",,32,"248,325","22,575",15,172,"1,072","1,505",,2.06,,11
,Rat Pack x5,Rat King,,600,"9,902","12,863","13,422",,22,"216,095","30,871",24,184,916,"1,286",,1.59,,7
,G. Launcher,Fighting Lion (cata),,72,"5,256","9,713",<---,,31,"161,883","8,094",1,20,"8,094","8,094",,1.84,,20
,Outbreak,Outbreak Perfected,,450,"2,549","3,045","3,132",,69,"175,374","14,614",36,459,246,406,,1.94,,12
,Max Nanites*,Outbreak Perfected,,450,"11,470","13,701","14,093",,69,"789,182","65,765",36,459,"1,109","1,827",,1.94,Assumes 6 players,12
,Averaged**,Outbreak Perfected,,450,"6,145","7,340","7,550",,69,"422,810","35,234",36,459,594,979,,1.94,Assumes 6 players,12
,,,,,,,,,,,,,,,,,,,
,"* At maximum nanites, Outbreak Prime caps at 450% damage. This damage can be reached in about 12.5 seconds with 6 players. This number does not account for the small individual nanite impacts.",,,,,,,,,,,,,,,,,,
,"** These numbers represent averages over the ""ramp up period"". Actual damage in a DPS phase will consist of this number over the first 12.5 seconds followed by Max Nanite numbers. These numbers were obtained from actual testing.",,,,,,,,,,,,,,,,,,
